License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2004,449,N,163,787,5,44,34,8,2,10,34,3,24,7
2004,449,R,455,2211,5,93,31,54,9,1,92,12,15,3
2004,449,SUM,617,2998,5,137,65,62,11,11,126,15,39,10
2004,450,N,7,23,4,0,0,0,0,0,0,0,0,0
2004,450,R,140,753,5,20,0,16,4,0,20,0,0,0
2004,450,SUM,147,776,5,20,0,16,4,0,20,0,0,0
2004,452,N,153,676,4,45,35,8,2,3,41,0,21,15
2004,452,R,347,1627,5,80,36,44,0,4,75,8,19,7
2004,452,SUM,500,2303,5,124,71,52,2,7,117,8,40,21
2004,454,N,158,742,5,30,26,3,2,0,30,10,8,8
2004,454,R,881,4276,5,127,63,56,5,6,121,21,30,11
2004,454,SUM,1038,5018,5,157,88,59,7,6,151,31,38,19
2004,455,N,8,79,10,5,2,3,0,0,5,0,0,2
2004,455,R,111,504,5,38,29,9,0,0,38,4,7,19
2004,455,SUM,119,583,5,43,31,12,0,0,43,4,7,20
2004,471,N,0,0,0,0,0,0,0,0,0,0,0,0
2004,471,R,30,87,3,3,3,0,0,3,0,0,0,3
2004,471,SUM,30,87,3,3,3,0,0,3,0,0,0,3
2004,4XX,N,161,1050,7,39,39,0,0,14,26,3,13,23
2004,4XX,R,70,265,4,6,0,6,0,0,6,0,0,0
2004,4XX,SUM,231,1315,6,46,39,6,0,14,32,3,13,23
2004,500,N,5,36,7,0,0,0,0,0,0,0,0,0
2004,500,R,271,1418,5,28,11,17,0,6,22,2,4,5
2004,500,SUM,276,1454,5,28,11,17,0,6,22,2,4,5
2004,502,N,2,3,2,0,0,0,0,0,0,0,0,0
2004,502,R,204,1308,6,15,3,12,0,0,15,0,0,3
2004,502,SUM,206,1312,6,15,3,12,0,0,15,0,0,3
2004,510,N,3,20,6,0,0,0,0,0,0,0,0,0
2004,510,R,32,333,10,7,3,5,0,0,7,0,0,3
2004,510,SUM,36,353,10,7,3,5,0,0,7,0,0,3
2004,511,N,19,92,5,0,0,0,0,0,0,0,0,0
2004,511,R,76,401,5,15,7,8,0,4,11,0,0,6
2004,511,SUM,94,494,5,15,7,8,0,4,11,0,0,6
2004,520,N,125,705,6,41,41,0,0,0,41,3,25,13
2004,520,R,1165,7475,6,112,55,56,2,3,110,7,22,26
2004,520,SUM,1290,8181,6,154,97,56,2,3,151,10,47,39
2004,530,N,39,218,6,3,2,1,0,0,3,0,0,2
2004,530,R,174,902,5,48,13,29,6,10,38,0,0,13
2004,530,SUM,213,1120,5,50,14,30,6,10,40,0,0,14
2004,540,N,111,650,6,15,10,2,3,0,15,0,10,0
2004,540,R,827,4026,5,127,44,75,7,8,118,12,19,14
2004,540,SUM,938,4675,5,141,54,77,10,8,133,12,28,14
2004,560,N,110,599,5,25,21,4,0,0,25,3,13,5
2004,560,R,784,4172,5,133,63,61,9,13,120,23,25,13
2004,560,SUM,894,4771,5,157,84,65,9,13,145,27,38,18
2004,570,N,28,168,6,7,7,0,0,3,3,0,3,3
2004,570,R,171,943,6,10,0,7,3,3,7,0,0,0
2004,570,SUM,199,1111,6,16,7,7,3,6,10,0,3,3
2004,575,N,23,117,5,2,0,2,0,0,2,0,0,0
2004,575,R,304,1583,5,45,13,31,1,9,37,3,5,6
2004,575,SUM,327,1700,5,47,13,33,1,9,38,3,5,6
2004,580,N,272,1307,5,76,61,15,0,10,66,19,24,16
2004,580,R,867,4189,5,258,83,146,30,8,250,22,32,29
